LON,LAT,POSTCODE,fibra_disp
-48.0268724,-16.0289061,72507-510,nao
-47.9937962,-16.0026941,72547-405,nao
-48.0215299,-16.0262512,72509-501,nao
-48.0255211,-16.0413735,72502-601,nao
-48.0253124,-16.0289851,72507-514,nao
-48.0300037,-16.0429299,72501-510,nao
-48.0276304,-16.0403437,72502-232,nao
-47.9987473,-16.0040279,72545-103,nao
-47.9900563,-16.0138848,72547-705,nao
-48.0219101,-16.0373754,72550-006,nao
-48.0066749,-16.0124085,72542-402,nao
-47.9893975,-16.0133976,72547-711,nao
-47.9970691,-16.0102455,72545-513,nao
-48.0048615,-16.0122811,72542-416,nao
-48.0353514,-16.0375737,72503-404,nao
-47.987128,-16.0157176,72548-811,nao
-48.0321469,-16.0265834,72506-102,nao
-48.0233063,-16.0221559,72509-406,nao
-48.0254477,-16.0377954,72503-704,nao
-48.0318368,-16.041146,72502-407,nao
-48.0186497,-16.0236108,72510-505,nao
-48.0209546,-16.020309,72510-404,nao
-48.0220951,-16.0319266,72550-043,nao
-48.0251678,-16.0296843,72507-232,nao
-48.0169898,-16.0205726,72536-160,nao
-47.9855494,-16.007112,72549-320,nao
-48.022396,-16.0382518,72550-009,nao
-48.0193041,-16.0198133,72510-413,nao
-48.0070303,-16.0113584,72542-404,nao
-48.0178098,-16.0355991,72504-003,nao
-48.0373973,-16.0418916,72501-106,nao
-48.0246925,-16.0223155,72508-222,nao
-48.0348814,-16.0452434,72500-403,nao
-47.9969486,-16.0092242,72545-515,nao
-47.9909217,-16.0164427,72547-802,nao
-47.997454,-16.0102316,72545-509,nao
-48.0280058,-16.0330643,72504-511,nao
-47.9947277,-16.0103686,72546-606,nao
-48.0275918,-16.0251727,72507-408,nao
-48.0256782,-16.0244444,72508-405,nao
-48.0287831,-16.042315,72501-504,nao
-47.9901821,-16.0124691,72547-708,nao
-48.0289451,-16.0343595,72504-504,nao
-48.0401392,-16.0425752,72500-432,nao
-48.0185935,-16.0238451,72510-504,nao
-48.0213682,-16.0220395,72509-411,nao
-48.0321971,-16.0367984,72503-505,nao
-47.9978806,-16.0118202,72545-505,nao
-47.9933352,-16.0098464,72546-611,nao
-48.0244087,-16.0406948,72502-606,nao
-48.0369152,-16.0454654,72500-418,nao
-48.0181675,-16.0208728,72510-418,nao
-48.0298122,-16.0286218,72506-404,nao
-48.0190003,-16.0224029,72510-509,nao
-48.0287834,-16.0356306,72503-604,nao
-47.983074,-16.0127615,72549-445,nao
-48.0296833,-16.027193,72506-408,nao
-48.030179,-16.0387091,72502-512,nao
-48.0384106,-16.0442489,72500-426,nao
-48.0294274,-16.0295982,72506-406,nao
-48.0365745,-16.0382737,72503-407,nao
-47.9996059,-16.0098505,72545-502,nao
-48.0325968,-16.0313597,72505-401,nao
-47.9941242,-16.0144503,72546-702,nao
-47.9871885,-16.0171815,72548-802,nao
-47.9881913,-16.000142,72548-420,nao
-48.0283802,-16.0365108,72503-602,nao
-48.0172779,-16.0197985,72536-200,nao
-48.0225782,-16.0329367,72550-045,nao
-48.0291712,-16.0269504,72506-409,nao
-48.0352327,-16.046913,72500-407,nao
-48.0215207,-16.0319171,72550-046,nao
-48.0209249,-16.0345232,72550-052,nao
-48.0270006,-16.02949,72507-509,nao
-47.9847275,-16.0112815,72549-410,nao
-48.0275633,-16.0319493,72504-519,nao
-48.0271901,-16.0258542,72507-410,nao
-48.029039,-16.0335936,72504-513,nao
-48.0237822,-16.0241493,72508-410,nao
-48.0388537,-16.0445848,72500-424,nao
-48.0216031,-16.0333139,72550-049,nao
-48.0329862,-16.0380579,72503-501,nao
-48.0315669,-16.031076,72505-403,nao
-48.0396006,-16.0442714,72500-427,nao
-47.9858097,-16.0123435,72548-715,nao
-48.0321707,-16.0359005,72503-506,nao
-48.028062,-16.0275154,72507-406,nao
-48.0216387,-16.0245698,72509-507,nao
-48.0354193,-16.0465513,72500-408,nao
-47.9945943,-16.0012524,72546-416,nao
-48.0316061,-16.0366489,72503-508,nao
-47.9837765,-16.0126742,72549-440,nao
-48.0232048,-16.0326142,72550-041,nao
-48.0103727,-16.012336,72511-151,nao
-48.0311326,-16.046316,72500-104,nao
-48.0291186,-16.0387745,72502-506,nao
-47.9944133,-16.0088337,72546-610,nao
-48.0149645,-16.0181607,72535-160,nao
-48.0202168,-16.0374878,72550-011,nao
-47.9881762,-16.015528,72547-813,nao
-48.0277974,-16.0467284,72500-125,nao
-47.9927833,-16.009978,72546-615,nao
-48.0285617,-16.0265694,72507-403,nao
-48.0319945,-16.0391172,72502-408,nao
-47.9903586,-16.0130074,72547-709,nao
-47.9918974,-16.0177161,72546-809,nao
-48.0173549,-16.0412817,72550-030,nao
-47.9979312,-16.0074929,72545-405,nao
-48.0312081,-16.0438739,72501-409,nao
-48.0254502,-16.0375692,72503-705,nao
-48.0276023,-16.0326755,72504-510,nao
-48.0301751,-16.0412082,72502-511,nao
-48.0404882,-16.0433191,72500-433,nao
-48.0035996,-16.0121902,72542-515,nao
-48.0169337,-16.0196139,72536-210,nao
-48.0372895,-16.0358224,72503-420,nao
-47.9935628,-16.0095482,72546-612,nao
-48.0308002,-16.0421343,72501-412,nao
-48.0144937,-16.0210403,72536-080,nao
-48.0231078,-16.0227203,72509-407,nao
-48.0053529,-16.0106947,72542-412,nao
-48.0180779,-16.0351289,72550-071,nao
-47.9856925,-16.0160019,72548-809,nao
-48.0273153,-16.0279967,72507-511,nao
-48.0261527,-16.0358209,72503-712,nao
-48.0234842,-16.0265085,72508-506,nao
-47.9913481,-16.0177228,72546-813,nao
-48.017654,-16.0187052,72535-030,nao
-47.9916162,-16.0123499,72547-701,nao
-48.0183476,-16.0250584,72510-232,nao
-48.0253648,-16.0332028,72504-123,nao
-48.0313593,-16.037925,72503-509,nao
